##time,flux,flux_err
2.460093745101999957e+06,9.758449999999999624e-01,1.012000000000000096e-03
2.460093745817000046e+06,9.780020000000000380e-01,1.023999999999999954e-03
2.460093746530999895e+06,9.871180000000000510e-01,1.038999999999999993e-03
2.460093747245999984e+06,9.896740000000000537e-01,1.054999999999999948e-03
2.460093747961000074e+06,9.854659999999999531e-01,1.059999999999999961e-03
2.460093748676000163e+06,1.002259000000000011e+00,1.049999999999999935e-03
2.460093749390000012e+06,9.959280000000000355e-01,1.031000000000000015e-03
2.460093750105000101e+06,9.870170000000000332e-01,1.038999999999999993e-03
2.460093750820000190e+06,9.851739999999999942e-01,1.049000000000000019e-03
2.460093751534000039e+06,9.834939999999999793e-01,1.036000000000000029e-03
2.460093752249000128e+06,9.867899999999999450e-01,1.028999999999999967e-03
2.460093752964000218e+06,9.967059999999999809e-01,1.061000000000000094e-03
2.460093753678000066e+06,9.951879999999999615e-01,1.083999999999999894e-03
2.460093754393000156e+06,9.949339999999999851e-01,1.080000000000000014e-03
2.460093755107999779e+06,9.873159999999999714e-01,1.054999999999999948e-03
2.460093755822999869e+06,9.853910000000000169e-01,1.061000000000000094e-03
2.460093756537000183e+06,9.983109999999999484e-01,1.061000000000000094e-03
2.460093757251999807e+06,9.828599999999999559e-01,1.059999999999999961e-03
2.460093757966000121e+06,9.924420000000000464e-01,1.100000000000000066e-03
2.460093758681000210e+06,9.938069999999999959e-01,1.111999999999999924e-03
2.460093759395999834e+06,9.898470000000000324e-01,1.077000000000000049e-03
2.460093760110999923e+06,9.978089999999999460e-01,1.075000000000000001e-03
2.460093760824999772e+06,9.859470000000000178e-01,1.075999999999999917e-03
2.460093761539999861e+06,9.788369999999999571e-01,1.100999999999999982e-03
2.460093762254999951e+06,9.922269999999999701e-01,1.134000000000000025e-03
2.460093762968999799e+06,9.929559999999999498e-01,1.103000000000000031e-03
2.460093763683999889e+06,9.988970000000000349e-01,1.075999999999999917e-03
2.460093764398999978e+06,9.908479999999999510e-01,1.072999999999999952e-03
2.460093765114999842e+06,9.943910000000000249e-01,1.098999999999999934e-03
2.460093765829000156e+06,9.892830000000000235e-01,1.129000000000000012e-03
2.460093766543999780e+06,9.915549999999999642e-01,1.170999999999999949e-03
2.460093767258999869e+06,9.973619999999999708e-01,1.214000000000000018e-03
2.460093767973999958e+06,9.908689999999999998e-01,1.224000000000000045e-03
2.460093768687999807e+06,1.000723999999999947e+00,1.211000000000000054e-03
