BJD,FLUX,ERRFLUX,AIRMASS,SKY
   9816.288872, 0.988319, 0.001654, 1.160, 1236.
   9816.290194, 0.986134, 0.001641, 1.159, 1240.
   9816.291335, 0.988025, 0.001641, 1.158, 1254.
   9816.292476, 0.988073, 0.001634, 1.156, 1255.
   9816.293617, 0.991629, 0.001629, 1.155, 1247.
   9816.294758, 0.989904, 0.001623, 1.154, 1242.
   9816.295899, 0.992158, 0.001621, 1.153, 1240.
   9816.297040, 0.989200, 0.001619, 1.152, 1231.
   9816.298361, 0.993025, 0.001619, 1.150, 1225.
   9816.299502, 0.989269, 0.001613, 1.149, 1212.
   9816.300828, 0.985530, 0.001612, 1.148, 1199.
   9816.303286, 0.992519, 0.001622, 1.145, 1236.
   9816.304602, 0.992573, 0.001636, 1.144, 1294.
   9816.305743, 0.987312, 0.001628, 1.143, 1319.
   9816.306885, 0.989538, 0.001639, 1.142, 1304.
   9816.308025, 0.992350, 0.001639, 1.140, 1312.
   9816.309167, 0.993081, 0.001632, 1.139, 1307.
   9816.310309, 0.996434, 0.001629, 1.138, 1309.
   9816.311450, 0.992051, 0.001622, 1.137, 1347.
   9816.312591, 0.998034, 0.001619, 1.136, 1354.
   9816.313910, 0.992101, 0.001611, 1.135, 1325.
   9816.315051, 0.989180, 0.001607, 1.134, 1322.
   9816.316378, 0.992501, 0.001618, 1.132, 1341.
   9816.317697, 0.998871, 0.001634, 1.131, 1372.
   9816.318838, 0.990783, 0.001621, 1.130, 1382.
   9816.320162, 0.987085, 0.001617, 1.129, 1388.
   9816.321303, 0.995398, 0.001626, 1.128, 1363.
   9816.322444, 0.991445, 0.001624, 1.127, 1332.
   9816.323586, 0.990693, 0.001624, 1.126, 1320.
   9816.324727, 0.987956, 0.001621, 1.125, 1316.
   9816.326046, 0.992746, 0.001630, 1.124, 1321.
   9816.327371, 0.994440, 0.001635, 1.123, 1309.
   9816.328511, 0.998153, 0.001645, 1.122, 1298.
   9816.329831, 0.997899, 0.001646, 1.120, 1313.
   9816.330973, 0.990427, 0.001628, 1.120, 1297.
   9816.332303, 0.994366, 0.001613, 1.118, 1255.
   9816.333626, 0.990705, 0.001582, 1.117, 1242.
   9816.334951, 0.995080, 0.001574, 1.116, 1233.
   9816.336092, 0.989745, 0.001565, 1.115, 1226.
   9816.337409, 0.985809, 0.001553, 1.114, 1244.
   9816.338550, 0.987264, 0.001554, 1.113, 1268.
   9816.339865, 0.990936, 0.001552, 1.112, 1264.
   9816.341184, 0.990640, 0.001542, 1.111, 1252.
   9816.342326, 0.987371, 0.001539, 1.110, 1267.
   9816.343652, 0.993999, 0.001550, 1.109, 1311.
   9816.344974, 0.991353, 0.001555, 1.108, 1317.
   9816.346115, 0.992842, 0.001557, 1.108, 1308.
   9816.347440, 0.993921, 0.001558, 1.107, 1333.
   9816.348759, 0.989762, 0.001552, 1.106, 1342.
   9816.349900, 0.995048, 0.001552, 1.105, 1344.
   9816.351225, 0.993170, 0.001547, 1.104, 1327.
   9816.352548, 0.997025, 0.001551, 1.103, 1318.
   9816.353690, 0.995190, 0.001551, 1.102, 1347.
   9816.354831, 0.994342, 0.001549, 1.101, 1374.
   9816.355972, 0.990133, 0.001546, 1.101, 1370.
   9816.357113, 0.995195, 0.001553, 1.100, 1358.
   9816.358255, 0.993741, 0.001560, 1.099, 1382.
   9816.359570, 0.987641, 0.001570, 1.098, 1431.
   9816.360892, 0.990160, 0.001595, 1.097, 1436.
   9816.362033, 0.993794, 0.001606, 1.097, 1436.
   9816.363174, 0.990461, 0.001607, 1.096, 1464.
   9816.364315, 0.984593, 0.001614, 1.095, 1510.
   9816.365456, 0.985284, 0.001626, 1.094, 1516.
   9816.366597, 0.983639, 0.001631, 1.094, 1503.
   9816.367739, 0.995763, 0.001651, 1.093, 1523.
   9816.370391, 0.998325, 0.001641, 1.091, 1604.
   9816.371533, 0.996799, 0.001633, 1.091, 1548.
   9816.372855, 0.998214, 0.001614, 1.090, 1548.
   9816.374171, 0.991328, 0.001601, 1.089, 1567.
   9816.375312, 0.997474, 0.001604, 1.089, 1562.
   9816.376639, 0.989721, 0.001585, 1.088, 1527.
   9816.377954, 0.992212, 0.001580, 1.087, 1523.
   9816.379095, 0.997717, 0.001585, 1.087, 1556.
   9816.380236, 0.986602, 0.001572, 1.086, 1584.
   9816.381377, 1.001770, 0.001613, 1.085, 1604.
   9816.382518, 0.993563, 0.001593, 1.085, 1610.
   9816.383842, 0.995759, 0.001601, 1.084, 1655.
   9816.384983, 0.995777, 0.001584, 1.084, 1697.
   9816.386125, 0.994365, 0.001577, 1.083, 1719.
   9816.387266, 0.992908, 0.001596, 1.082, 1746.
   9816.388407, 0.997386, 0.001602, 1.082, 1803.
   9816.389549, 1.005903, 0.001744, 1.081, 1890.
   9816.390691, 0.995943, 0.001700, 1.081, 1968.
   9816.393159, 1.002491, 0.001691, 1.080, 2222.
   9816.394486, 1.008410, 0.001672, 1.079, 2322.
   9816.395804, 0.991878, 0.001653, 1.079, 2487.
   9816.396946, 0.992097, 0.001621, 1.078, 2595.
   9816.398272, 0.997484, 0.001636, 1.078, 2793.
