BJD,FLUX,ERRFLUX,AIRMASS,SKY
     93.888825, 1.001825, 0.001347, 1.181, 4602.
     93.889962, 0.994885, 0.001373, 1.182, 4746.
     93.891099, 0.997634, 0.001367, 1.184, 4834.
     93.892236, 1.000797, 0.001364, 1.185, 4774.
     93.893374, 0.998255, 0.001390, 1.186, 4782.
     93.894511, 0.999070, 0.001363, 1.188, 4750.
     93.895650, 0.998167, 0.001368, 1.189, 4773.
     93.896787, 0.996913, 0.001424, 1.191, 4954.
     93.897924, 1.001273, 0.001441, 1.192, 5016.
     93.899061, 1.002389, 0.001404, 1.193, 4964.
     93.900199, 0.993959, 0.001439, 1.195, 5087.
     93.901337, 1.004272, 0.001478, 1.196, 5144.
     93.902475, 0.998314, 0.001506, 1.198, 5180.
     93.903613, 1.004941, 0.001512, 1.199, 5155.
     93.904750, 1.009517, 0.001493, 1.201, 5149.
     93.905887, 0.999426, 0.001495, 1.202, 5297.
     93.907025, 1.001516, 0.001545, 1.204, 5487.
     93.908162, 0.992993, 0.001568, 1.205, 5591.
     93.909300, 1.003662, 0.001616, 1.207, 5744.
     93.910438, 1.004548, 0.001666, 1.208, 5892.
     93.911575, 0.994260, 0.001653, 1.210, 5795.
     93.912712, 0.998842, 0.001693, 1.211, 5856.
     93.913850, 1.003877, 0.001713, 1.213, 5894.
     93.914988, 1.001211, 0.001645, 1.214, 5778.
     93.916126, 0.998322, 0.001643, 1.216, 5810.
     93.917263, 1.002544, 0.001623, 1.217, 5756.
     93.918402, 0.996747, 0.001581, 1.219, 5929.
     93.919539, 0.997630, 0.001529, 1.220, 5929.
     93.920677, 0.995962, 0.001520, 1.222, 5825.
     93.921814, 1.000243, 0.001495, 1.223, 5766.
     93.922951, 0.998333, 0.001510, 1.225, 5891.
     93.924089, 1.001984, 0.001545, 1.226, 5947.
     93.925227, 0.995177, 0.001568, 1.228, 6069.
     93.926364, 0.999996, 0.001597, 1.230, 6139.
     93.927501, 0.995569, 0.001588, 1.231, 6190.
     93.928638, 1.004759, 0.001592, 1.233, 6193.
     93.929775, 1.002508, 0.001614, 1.234, 6246.
     93.930913, 1.005635, 0.001634, 1.236, 6427.
     93.932050, 1.003772, 0.001677, 1.238, 6510.
     93.933187, 1.010621, 0.001652, 1.239, 6368.
     93.934324, 1.000000, 0.001573, 1.241, 6276.
     93.935461, 0.999307, 0.001568, 1.242, 6274.
     93.936598, 0.999669, 0.001532, 1.244, 6146.
     93.937735, 1.001590, 0.001469, 1.246, 5955.
     93.938874, 1.004255, 0.001371, 1.247, 5649.
     93.940011, 1.004714, 0.001309, 1.249, 5352.
     93.941149, 0.998979, 0.001249, 1.251, 5141.
     93.942287, 0.997701, 0.001183, 1.252, 4935.
     93.943425, 1.000691, 0.001165, 1.254, 4847.
     93.944562, 0.999956, 0.001172, 1.256, 5075.
     93.945699, 0.997713, 0.001173, 1.257, 5096.
     93.946837, 0.997257, 0.001156, 1.259, 5041.
     93.947974, 0.996820, 0.001138, 1.261, 5034.
     93.949113, 1.000641, 0.001121, 1.262, 4952.
     93.950253, 1.001564, 0.001109, 1.264, 5001.
     93.951391, 0.999920, 0.001108, 1.266, 5139.
     93.952529, 0.996977, 0.001102, 1.267, 5175.
     93.953666, 0.996732, 0.001105, 1.269, 5261.
     93.954804, 0.994425, 0.001107, 1.271, 5384.
     93.955942, 0.996160, 0.001129, 1.272, 5601.
     93.957080, 0.998566, 0.001192, 1.274, 5939.
     93.958218, 1.000187, 0.001216, 1.276, 5978.
     93.959357, 1.000771, 0.001211, 1.278, 5988.
     93.960494, 0.999366, 0.001248, 1.279, 6361.
     93.961633, 0.998966, 0.001276, 1.281, 6468.
     93.962771, 1.000052, 0.001237, 1.283, 6200.
     93.963908, 0.996188, 0.001180, 1.284, 6044.
     93.965046, 0.998086, 0.001185, 1.286, 6056.
     93.966183, 0.998343, 0.001179, 1.288, 6090.
     93.967320, 0.995810, 0.001171, 1.290, 6056.
     93.968458, 0.998181, 0.001200, 1.291, 6038.
     93.969595, 0.997603, 0.001215, 1.293, 6277.
     93.970733, 0.996501, 0.001197, 1.295, 6282.
     93.971871, 0.994783, 0.001170, 1.297, 6090.
