BJD,FLUX,ERRFLUX,AIRMASS,SKY
     93.899464, 0.993614, 0.001102, 1.193, 2846.
     93.900179, 1.005472, 0.001135, 1.194, 2914.
     93.900893, 1.004420, 0.001147, 1.195, 2943.
     93.901608, 1.000520, 0.001164, 1.196, 2998.
     93.902323, 1.003213, 0.001180, 1.197, 3026.
     93.903037, 0.997156, 0.001199, 1.198, 3071.
     93.903752, 1.002670, 0.001188, 1.199, 3061.
     93.904466, 0.998149, 0.001172, 1.200, 3059.
     93.905181, 1.001058, 0.001163, 1.201, 3048.
     93.905896, 0.998544, 0.001170, 1.202, 3096.
     93.906610, 0.999426, 0.001192, 1.203, 3171.
     93.907325, 1.002467, 0.001226, 1.204, 3257.
     93.908039, 1.000087, 0.001242, 1.204, 3295.
     93.908754, 1.001601, 0.001255, 1.205, 3326.
     93.909469, 1.002406, 0.001273, 1.206, 3365.
     93.910183, 0.998011, 0.001289, 1.207, 3450.
     93.910898, 0.997897, 0.001308, 1.208, 3481.
     93.911613, 0.997120, 0.001305, 1.209, 3451.
     93.912327, 1.007933, 0.001328, 1.210, 3468.
     93.913042, 1.001456, 0.001338, 1.211, 3509.
     93.913756, 0.999959, 0.001346, 1.212, 3532.
     93.914471, 0.996882, 0.001327, 1.213, 3507.
     93.915185, 1.003877, 0.001300, 1.214, 3454.
     93.915900, 1.003012, 0.001295, 1.215, 3463.
     93.916615, 0.997764, 0.001298, 1.216, 3458.
     93.917329, 0.995948, 0.001276, 1.217, 3412.
     93.918044, 0.999715, 0.001266, 1.218, 3405.
     93.918758, 0.996426, 0.001236, 1.219, 3585.
     93.919473, 1.000730, 0.001219, 1.220, 3573.
     93.920188, 1.004457, 0.001189, 1.221, 3491.
     93.920902, 1.001659, 0.001210, 1.222, 3526.
     93.921616, 0.998999, 0.001197, 1.223, 3496.
     93.922331, 0.998296, 0.001171, 1.224, 3470.
     93.923046, 0.998689, 0.001188, 1.224, 3532.
     93.923760, 0.999052, 0.001217, 1.225, 3620.
     93.924475, 1.000000, 0.001212, 1.226, 3631.
     93.925190, 1.001001, 0.001219, 1.227, 3672.
     93.925904, 1.004514, 0.001272, 1.228, 3788.
     93.926619, 0.999817, 0.001255, 1.229, 3775.
     93.927333, 0.995085, 0.001254, 1.230, 3816.
     93.928048, 1.001927, 0.001250, 1.231, 3818.
     93.928762, 1.006116, 0.001255, 1.232, 3833.
     93.929477, 0.997209, 0.001255, 1.233, 3841.
     93.930192, 1.009612, 0.001283, 1.234, 3920.
     93.930906, 1.009515, 0.001284, 1.235, 3981.
     93.931621, 1.001764, 0.001306, 1.236, 4061.
     93.932335, 1.003004, 0.001320, 1.237, 4093.
     93.933050, 0.993614, 0.001314, 1.238, 4080.
     93.933765, 0.999494, 0.001253, 1.239, 3945.
     93.934479, 0.998678, 0.001239, 1.240, 3944.
     93.935194, 1.002307, 0.001236, 1.241, 3956.
     93.935908, 0.996710, 0.001229, 1.242, 3946.
     93.936623, 1.007301, 0.001220, 1.244, 3882.
     93.937338, 1.000972, 0.001176, 1.245, 3768.
     93.938053, 0.998887, 0.001145, 1.246, 3676.
     93.938767, 0.997349, 0.001094, 1.247, 3524.
     93.939482, 0.999207, 0.001051, 1.248, 3390.
     93.940197, 1.002524, 0.001029, 1.249, 3284.
     93.940911, 0.996015, 0.001002, 1.250, 3200.
     93.941626, 1.000252, 0.000966, 1.251, 3089.
     93.942340, 1.001793, 0.000938, 1.252, 2981.
     93.943055, 0.999213, 0.000918, 1.253, 2918.
     93.943769, 0.999568, 0.000915, 1.254, 2915.
     93.944484, 1.000981, 0.000920, 1.255, 2993.
     93.945198, 1.000450, 0.000924, 1.256, 3036.
     93.945913, 0.999062, 0.000925, 1.257, 3010.
     93.946628, 0.997565, 0.000912, 1.258, 2957.
     93.947343, 0.999087, 0.000906, 1.259, 2953.
     93.948057, 0.998352, 0.000893, 1.260, 2923.
     93.948772, 0.997229, 0.000892, 1.261, 2924.
     93.949487, 0.998559, 0.000872, 1.262, 2848.
     93.950201, 1.001729, 0.000870, 1.263, 2852.
     93.950916, 0.998204, 0.000869, 1.264, 2893.
     93.951631, 0.997355, 0.000869, 1.265, 2939.
     93.952345, 1.000822, 0.000867, 1.266, 2950.
     93.953060, 0.998432, 0.000868, 1.268, 2982.
     93.953775, 0.997738, 0.000868, 1.269, 3012.
     93.954490, 0.997098, 0.000871, 1.270, 3033.
     93.955204, 1.000531, 0.000875, 1.271, 3076.
     93.955919, 1.001733, 0.000884, 1.272, 3150.
     93.956633, 0.999692, 0.000908, 1.273, 3282.
     93.957348, 0.999541, 0.000943, 1.274, 3458.
     93.958063, 1.000275, 0.000960, 1.275, 3514.
     93.958777, 1.001173, 0.000950, 1.276, 3456.
     93.959492, 0.998767, 0.000948, 1.277, 3482.
     93.960206, 1.001602, 0.000967, 1.278, 3576.
     93.960921, 1.000318, 0.000988, 1.279, 3724.
     93.961635, 1.000512, 0.001003, 1.280, 3787.
     93.962350, 0.999519, 0.001001, 1.282, 3722.
     93.963064, 1.008283, 0.000974, 1.283, 3590.
     93.963779, 0.996565, 0.000935, 1.284, 3493.
     93.964493, 0.998455, 0.000923, 1.285, 3438.
     93.965208, 1.000033, 0.000933, 1.286, 3478.
     93.965923, 1.003235, 0.000933, 1.287, 3450.
     93.966637, 1.000417, 0.000931, 1.288, 3495.
     93.967352, 1.001411, 0.000926, 1.289, 3467.
     93.968067, 0.996378, 0.000924, 1.290, 3415.
     93.968782, 1.000123, 0.000948, 1.291, 3495.
     93.969496, 0.999624, 0.000954, 1.292, 3558.
     93.970211, 1.002112, 0.000959, 1.294, 3609.
     93.970925, 0.998629, 0.000939, 1.295, 3553.
     93.971640, 0.997238, 0.000927, 1.296, 3479.
     93.972355, 0.994371, 0.000915, 1.297, 3396.
     93.973069, 1.002571, 0.000904, 1.298, 3302.
     93.973784, 1.000368, 0.000891, 1.299, 3252.
     93.974499, 0.997906, 0.000896, 1.300, 3286.
     93.975213, 0.996277, 0.000898, 1.301, 3261.
     93.975928, 1.001347, 0.000902, 1.302, 3213.
     93.976642, 1.000405, 0.000903, 1.304, 3180.
     93.977357, 0.999722, 0.000960, 1.305, 3416.
     93.978071, 0.998998, 0.000976, 1.306, 3526.
     93.978786, 0.997307, 0.000932, 1.307, 3319.
     93.979500, 1.001706, 0.000921, 1.308, 3225.
     93.980215, 0.996601, 0.000916, 1.309, 3205.
     93.980930, 1.000581, 0.000923, 1.310, 3201.
     93.981644, 0.999002, 0.000930, 1.311, 3246.
     93.982359, 0.999429, 0.000935, 1.312, 3263.
     93.983073, 1.002099, 0.000925, 1.314, 3232.
     93.983788, 0.998326, 0.000914, 1.315, 3164.
     93.984502, 0.997571, 0.000927, 1.316, 3150.
     93.985217, 1.000425, 0.000921, 1.317, 3098.
     93.985932, 1.000139, 0.000917, 1.318, 3114.
     93.986646, 1.000373, 0.000931, 1.319, 3206.
     93.987361, 1.004384, 0.000927, 1.320, 3196.
     93.988076, 0.997829, 0.000929, 1.321, 3233.
     93.988790, 0.997751, 0.000912, 1.323, 3140.
     93.989505, 0.999340, 0.000887, 1.324, 3028.
     93.990219, 0.998873, 0.000879, 1.325, 2987.
     93.990934, 0.999473, 0.000878, 1.326, 2963.
     93.991648, 1.002561, 0.000870, 1.327, 2903.
     93.992363, 0.997593, 0.000863, 1.328, 2884.
     93.993078, 0.997651, 0.000864, 1.329, 2922.
     93.993792, 1.003711, 0.000880, 1.330, 2987.
     93.994507, 0.999408, 0.000907, 1.332, 3126.
     93.995222, 1.000704, 0.000937, 1.333, 3256.
     93.995936, 0.996574, 0.000941, 1.334, 3301.
     93.996650, 0.998654, 0.000955, 1.335, 3378.
     93.997365, 1.000196, 0.000958, 1.336, 3394.
     93.998079, 1.000527, 0.000967, 1.337, 3440.
     93.998794, 0.998782, 0.000968, 1.338, 3420.
     93.999509, 0.995469, 0.000974, 1.340, 3456.
